Aktor;Rezyser;Tytul;Gatunek;Dlugosc;Ocena;Glosy;Box_office;Ocena_rezysera;Ocena_aktora;Oscary
Colin Firth;Matthew Vaughn;Kingsman: The Secret Service;Action,Adventure,Comedy;129;7.7;440209;128.25;7.98;8.54;0
Robert Downey Jr.;Guy Ritchie;Sherlock Holmes;Action,Adventure,Crime;128;7.6;501769;209.02;8.31;8.79;0
Robert Downey Jr.;Guy Ritchie;Sherlock Holmes: A Game of Shadows;Action,Adventure,Crime;129;7.5;357436;186.83;8.31;8.79;0
Tom Hanks;Ron Howard;Inferno;Action,Adventure,Crime;121;6.2;97623;34.26;7.61;8.81;0
Christian Bale;Ridley Scott;Exodus: Gods and Kings;Action,Adventure,Drama;150;6;137299;65.01;8.01;8.61;0
Russell Crowe;Darren Aronofsky;Noah;Action,Adventure,Drama;138;5.8;209700;101.16;8.18;8.48;0
Russell Crowe;Ridley Scott;Robin Hood;Action,Adventure,Drama;140;6.7;221117;105.22;8.01;8.48;0
Harrison Ford;Steven Spielberg;Indiana Jones and the Kingdom of the Crystal Skull;Action,Adventure,Fantasy;122;6.2;351361;317.01;8.21;8.62;0
Johnny Depp;Gore Verbinski;Pirates of the Caribbean: At World's End;Action,Adventure,Fantasy;169;7.1;498821;309.4;7.97;8.77;0
Johnny Depp;Gore Verbinski;Pirates of the Caribbean: Dead Man's Chest;Action,Adventure,Fantasy;151;7.3;552027;423.03;7.97;8.77;1
James McAvoy;Matthew Vaughn;X: First Class;Action,Adventure,Sci-Fi;132;7.8;550011;146.41;7.98;8.16;0
James McAvoy;Bryan Singer;X-Men: Apocalypse;Action,Adventure,Sci-Fi;144;7.1;275510;155.33;7.34;8.16;0
Leonardo DiCaprio;Christopher Nolan;Inception;Action,Adventure,Sci-Fi;148;8.8;1583625;292.57;8.77;8.96;1
Tom Hardy;George Miller;Mad Max: Fury Road;Action,Adventure,Sci-Fi;120;8.1;632842;153.63;8;8.72;1
Denzel Washington;Antoine Fuqua;The Magnificent Seven;Action,Adventure,Western;132;6.9;122853;93.38;7.16;8.49;0
Johnny Depp;Gore Verbinski;The Lone Ranger;Action,Adventure,Western;150;6.5;190855;89.29;7.97;8.77;0
Tom Hardy;Nicolas Winding Refn;Bronson;Action,Biography,Crime;92;7.1;93972;0.1;7.81;8.72;0
Bradley Cooper;Clint Eastwood;American Sniper;Action,Biography,Drama;133;7.3;353305;350.12;8.27;8.22;1
Christian Bale;Christopher Nolan;The Dark Knight;Action,Crime,Drama;152;9;1791916;533.32;8.77;8.61;1
Emily Blunt;Denis Villeneuve;Sicario;Action,Crime,Drama;121;7.6;243230;46.88;8.3;8.04;0
Denzel Washington;Antoine Fuqua;The Equalizer;Action,Crime,Thriller;132;7.2;249425;101.53;7.16;8.49;0
Gerard Butler;Guy Ritchie;RocknRolla;Action,Crime,Thriller;114;7.3;203096;5.69;8.31;8.14;0
Vin Diesel;James Wan;Furious Seven;Action,Crime,Thriller;137;7.2;301249;350.03;7.9;8.38;0
Brad Pitt;Robert Zemeckis;Allied;Action,Drama,Romance;124;7.1;78079;40.07;8.21;8.63;0
Leonardo DiCaprio;Ridley Scott;Body of Lies;Action,Drama,Romance;128;7.1;182305;39.38;8.01;8.96;0
Gerard Butler;Zack Snyder;300;Action,Fantasy,War;117;7.7;637104;210.59;6.77;8.14;0
Kurt Russell;Robert Rodriguez;Grindhouse;Action,Horror,Thriller;191;7.6;160350;25.03;7.3;8.18;0
Denzel Washington;Tony Scott;Deja Vu;Action,Sci-Fi,Thriller;126;7;253858;180.6;7.68;8.49;0
Scarlett Johansson;Luc Besson;Lucy;Action,Sci-Fi,Thriller;89;6.4;352698;126.55;7.64;7.94;0
Christian Bale;Christopher Nolan;The Dark Knight Rises;Action,Thriller;164;8.5;1222645;448.13;8.77;8.61;0
Denzel Washington;Tony Scott;Unstoppable;Action,Thriller;98;6.8;157499;81.56;7.68;8.49;0
Gerard Butler;Antoine Fuqua;Olympus Has Fallen;Action,Thriller;119;6.5;214994;98.9;7.16;8.14;0
Ralph Fiennes;Wes Anderson;The Grand Budapest Hotel;Adventure,Comedy,Drama;99;8.1;530881;59.07;8.64;8.63;1
Eva Green;Tim Burton;Miss Peregrine's Home for Peculiar Children;Adventure,Drama,Family;127;6.7;101058;87.24;8.32;8.47;0
Matthew McConaughey;Christopher Nolan;Interstellar;Adventure,Drama,Sci-Fi;169;8.6;1047747;187.99;8.77;8.71;1
Brad Pitt;Quentin Tarantino;Inglourious Basterds;Adventure,Drama,War;153;8.3;959065;120.52;8.87;8.63;1
Eddie Redmayne;David Yates;Fantastic Beasts and Where to Find Them;Adventure,Family,Fantasy;133;7.5;232072;234.02;6.29;8.76;1
Mia Wasikowska;Tim Burton;Alice in Wonderland;Adventure,Family,Fantasy;108;6.5;324898;334.19;8.32;7.52;1
Ian McKellen;Peter Jackson;The Hobbit: The Battle of the Five Armies;Adventure,Fantasy;144;7.4;385598;255.11;8.48;8.85;0
Ian McKellen;Peter Jackson;The Hobbit: The Desolation of Smaug;Adventure,Fantasy;161;7.9;513744;258.36;8.48;8.85;0
Martin Freeman;Peter Jackson;The Hobbit: An Unexpected Journey;Adventure,Fantasy;169;7.9;668651;303;8.48;8.58;0
Noomi Rapace;Ridley Scott;Prometheus;Adventure,Mystery,Sci-Fi;124;7;485820;126.46;8.01;7.65;0
Cillian Murphy;Danny Boyle;Sunshine;Adventure,Sci-Fi,Thriller;107;7.3;199860;3.68;7.73;8.29;0
Leonardo DiCaprio;Martin Scorsese;The Wolf of Wall Street;Biography,Comedy,Crime;180;8.2;865134;116.87;8.68;8.96;0
Christian Bale;Adam McKay;The Big Short;Biography,Comedy,Drama;130;7.8;246360;70.24;7.62;8.61;1
Christian Bale;Michael Mann;Public Enemies;Biography,Crime,Drama;140;7;240323;97.03;7.96;8.61;0
Denzel Washington;Ridley Scott;American Gangster;Biography,Crime,Drama;157;7.8;337835;130.13;8.01;8.49;0
Tom Hanks;Clint Eastwood;Sully;Biography,Drama;96;7.5;137608;125.07;8.27;8.81;0
Daniel Day-Lewis;Steven Spielberg;Lincoln;Biography,Drama,History;150;7.4;207497;182.2;8.21;8.6;1
Angelina Jolie;Clint Eastwood;Changeling;Biography,Drama,Mystery;141;7.8;206793;35.71;8.27;8.43;0
Robert De Niro;Luc Besson;The Family;Comedy,Crime,Thriller;111;6.3;92868;36.92;7.64;8.58;0
Bradley Cooper;David O. Russell;Silver Linings Playbook;Comedy,Drama,Romance;122;7.8;564364;132.09;7.26;8.22;1
Russell Crowe;Ridley Scott;A Good Year;Comedy,Drama,Romance;117;6.9;74674;7.46;8.01;8.48;0
Johnny Depp;Tim Burton;Dark Shadows;Comedy,Fantasy,Horror;113;6.2;209326;79.71;8.32;8.77;0
Christian Bale;David O. Russell;American Hustle;Crime,Drama;138;7.3;379088;150.12;7.26;8.61;0
Jake Gyllenhaal;David Fincher;Zodiac;Crime,Drama,History;157;7.7;329683;33.05;8.72;8.71;0
Hugh Jackman;Denis Villeneuve;Prisoners;Crime,Drama,Mystery;153;8.1;431185;60.96;8.3;8.43;0
James McAvoy;Danny Boyle;Trance;Crime,Drama,Mystery;101;7;97141;2.32;7.73;8.16;0
Samuel L. Jackson;Quentin Tarantino;The Hateful Eight;Crime,Drama,Mystery;187;7.8;341170;54.12;8.87;8.31;1
Naomi Watts;David Cronenberg;Eastern Promises;Crime,Drama,Mystery;100;7.7;198006;17.11;7.7;7.71;0
Leonardo DiCaprio;Martin Scorsese;The Departed;Crime,Drama,Thriller;151;8.5;937414;132.37;8.68;8.96;1
Clint Eastwood;Clint Eastwood;Gran Torino;Drama;116;8.2;595779;148.09;8.27;8.8;0
Cate Blanchett;Woody Allen;Blue Jasmine;Drama;98;7.3;160592;33.4;7.36;8.44;1
Jennifer Lawrence;David O. Russell;Joy;Drama;124;6.6;97679;56.44;7.26;8.15;0
Kirsten Dunst;Lars von Trier;Melancholia;Drama;135;7.1;137117;3.03;7.8;7.58;0
Brad Pitt;David Fincher;The Curious Case of Benjamin Button;Drama,Fantasy,Romance;166;7.8;485075;127.49;8.72;8.63;1
Rachel Weisz;Peter Jackson;The Lovely Bones;Drama,Fantasy,Thriller;135;6.7;130702;43.98;8.48;7.85;0
Daniel Day-Lewis;Paul Thomas Anderson;There Will Be Blood;Drama,History;158;8.1;400682;40.22;8.22;8.6;1
Tom Hanks;Steven Spielberg;Bridge of Spies;Drama,History,Thriller;142;7.6;217938;72.31;8.21;8.81;1
Johnny Depp;Tim Burton;Sweeney Todd: The Demon Barber of Fleet Street;Drama,Horror,Musical;116;7.4;296289;52.88;8.32;8.77;1
Christian Bale;Christopher Nolan;The Prestige;Drama,Mystery,Sci-Fi;130;8.5;913152;53.08;8.77;8.61;0
Amy Adams;Denis Villeneuve;Arrival;Drama,Mystery,Sci-Fi;116;8;340798;100.5;8.3;7.63;1
Leonardo DiCaprio;Sam Mendes;Revolutionary Road;Drama,Romance;119;7.3;159736;22.88;7.89;8.96;0
Hugh Jackman;Darren Aronofsky;The Fountain;Drama,Sci-Fi;96;7.3;199193;10.14;8.18;8.43;0
Jake Gyllenhaal;Antoine Fuqua;Southpaw;Drama,Sport;124;7.4;169083;52.42;7.16;8.71;0
Denzel Washington;Robert Zemeckis;Flight;Drama,Thriller;138;7.3;276347;93.75;8.21;8.49;0
Natalie Portman;Darren Aronofsky;Black Swan;Drama,Thriller;108;8;581518;106.95;8.18;8.14;1
Vera Farmiga;James Wan;The Conjuring 2;Thriller;134;7.4;137203;102.46;7.9;8.16;0
James McAvoy;M. Night Shyamalan;Split;Thriller;117;7.3;157606;138.12;6.46;8.16;0
Jake Gyllenhaal;Denis Villeneuve;Enemy;Thriller;91;6.9;111558;1.01;8.3;8.71;0
Leonardo DiCaprio;Martin Scorsese;Shutter Island;Thriller;138;8.1;855604;127.97;8.68;8.96;0
Tom Hanks;Ron Howard;The Da Vinci Code;Thriller;149;6.6;338280;217.54;7.61;8.81;0
Kurt Russell;Quentin Tarantino;Death Proof;Thriller;113;7.1;220236;30.7;8.87;8.18;0
